id,fullname,username,password,role_id,is_admin,is_supervisor,is_leadership,is_military,job_id,unit_id,session_id,preferredTheme,file_id
2,Test Name,test,$2a$10$WZ37feH3LCZgIdEcfwnZY.TRe0ZdUhcgeTamuZPbPTJv8kdUQhvB2,1,false,false,false,false,2,1,3ee9bba9-bb16-488d-b28a-d71c28ef67bb,dark,747a82e3-f46b-45b4-aec2-212a827936a2
3,Kara Schimmel I,Cecil.Adams26,$2a$10$18/wSUjkm5yeVKEiKSlUmeM3CmJOmsHSFfLwnYVg.mKKGF8FBbH9W,3,true,true,false,false,3,4,c207c1c5-38a3-4cbe-a743-1cae4c2c7905,dark,39a35d4c-3d5e-4812-b53e-ca88ae36edeb
4,Blanche Bahringer,Donnie86,$2a$10$olw.R.tU25AaSLB9CpaYMOpIxLfeiqfwKCDoiggiGylVoAuEfmJW2,1,true,true,false,true,5,14,7995c642-dcda-4b68-807b-bc7ef7f7738e,dark,fd8cf89d-280c-4876-8320-e01980babf0a
5,Stacey Pouros,Carrie44,$2a$10$Pn8F8fZLdfp8e0rw116bbeqWaQXi3mXvrQfjRk8aG52dByDGjNMoG,3,false,true,false,false,4,10,531b0cc1-012a-42e2-b971-fe4d43e2d26d,light,595263c9-8d86-4072-88b1-f1fe38a72b40
6,Debbie Rempel,Nicholaus.Cole44,$2a$10$4ZF/HXy/l0moU3.AhYVFmekP3PaJoQ76edRwwlR5MZ6q1tWNJLd/.,2,false,false,true,false,2,7,f6579c39-c8f8-401f-a9fd-c133968c65d6,dark,065b2890-22bd-4a0b-9067-60e7913964e9
7,Dixie Hills,Maurice.Steuber29,$2a$10$2KDz0XOdAnalDMWq2zvgie40S6tl5XdQtSTBFEMgkT8LkrzsJlhue,3,true,true,true,false,1,14,08c372e8-5c58-43b9-9e31-1d9e685adc1c,dark,c08b7cba-f903-4674-b688-559fa2b75975
8,Sonja Effertz,Josiah.Hettinger,$2a$10$53d7IFr3TPgUkVkHRM7YpOmbJwkkbAokY.y12E8AR5/X1te/5XFaa,2,false,false,true,false,3,10,b42872cb-c8c3-4cd4-a8bb-f92c1a872f31,light,186c1035-6640-4450-858f-1cdcf169d5e0
9,Dean Hudson,Zachary.Powlowski,$2a$10$LcxfSChxwIPY6UJVFi7Nzerm8Ro/hsXMQ7GRYnIaKE86GL.z8fGBm,2,true,false,false,true,1,14,fa0c869c-d018-4ff2-9928-bf8bbca40972,dark,4b0f7454-109d-48e5-8c42-f38f98cbc650
10,Archie Mohr,Hyman.Nikolaus,$2a$10$zt856yBANDfZozrfE0BS2OGyvquK32IOUyir1yyMhk5MS6.PZJIJi,2,false,false,true,false,5,14,22b4c07b-d926-48df-8e34-42816f4a71d0,light,73792d7e-0a2a-440d-9993-d78ea18c10b4
11,Doyle Feeney,Lottie_Krajcik82,$2a$10$/4PrK13jlnvMl8wEK1.eH.F5dbYplviqMngHcpokAgUyX5D/sDIx6,1,false,false,true,false,1,11,3366b9bd-ee91-481f-ba93-11b98a1c8520,light,4e8d88e7-bf08-4ab2-b212-1a06f11509f1
